The Flintstones,1994,PG,27 May 1994,91 min,"Comedy, Family, Fantasy",Brian Levant,"Tom S. Parker, Jim Jennewein, Steven E. de Souza","John Goodman, Rick Moranis, Rosie O'Donnell","In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",English,United States,6 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BYzY0ZTk4YzctNzYzNy00ZDQ0LTg2Y2ItZTQyYzQxMjQwMDc2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Forrest Gump,1994,PG-13,06 Jul 1994,142 min,"Drama, Romance",Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",English,United States,Won 6 Oscars. 50 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Four Weddings and a Funeral,1994,R,15 Apr 1994,117 min,"Comedy, Drama, Romance",Mike Newell,Richard Curtis,"Hugh Grant, Andie MacDowell, James Fleet","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","English, British Sign ",United Kingdom,Nominated for 2 Oscars. 24 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_SX300.jpg
Higher Learning,1995,R,11 Jan 1995,128 min,"Crime, Drama, Thriller",John Singleton,John Singleton,"Omar Epps, Kristy Swanson, Michael Rapaport","People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BOWFlM2FkM2YtZWFmMC00YjRlLThhNjAtYTY5MDQ3MDFkMDM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
I Like It Like That,1994,R,14 Oct 1994,104 min,"Comedy, Drama, Romance",Darnell Martin,Darnell Martin,"Luna Lauren Velez, Jon Seda, Tomas Melly","Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes t...",English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BZjRkNjJkNmItZTkwZC00NDI1LTg1NWItY2E5NTg4MmFkZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
I Love Trouble,1994,PG,29 Jun 1994,123 min,"Action, Comedy, Romance",Charles Shyer,"Nancy Meyers, Charles Shyer","Nick Nolte, Julia Roberts, Saul Rubinek",Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWFhMTc1OWEtYmI1MS00YTcwLWI1ZmQtNjg0YWEyMDY1YjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
It Could Happen to You,1994,PG,29 Jul 1994,101 min,"Comedy, Drama, Romance",Andrew Bergman,Jane Anderson,"Nicolas Cage, Bridget Fonda, Rosie Perez",A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,"English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzMxOGUzOWEtMGUxMi00ZWM1LWE3ODgtNzc4OGVjZmJhMmFmXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg
The Jungle Book,1994,PG,25 Dec 1994,111 min,"Adventure, Family, Romance",Stephen Sommers,"Rudyard Kipling, Ron Yanover, Mark Geldman","Jason Scott Lee, Cary Elwes, Lena Headey","Rudyard Kipling's classic tale of Mowgli, the orphaned jungle boy raised by wild animals, and how he becomes king of the jungle.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjRjNDk2NTItZGQ1OS00OGU0LWJhMzUtNmZkNDE4NDg0MDMyXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg
"The Wonderful, Horrible Life of Leni Riefenstahl",1993,N/A,06 Jun 1994,183 min,"Documentary, Biography, History",Ray Müller,Ray Müller,"Leni Riefenstahl, Marlene Dietrich, Arnold Fanck","A documentary about the life and work of Leni Riefenstahl, a German film director most notorious for making the most effective propaganda films for the Nazis.","German, English","Germany, Belgium, United Kingdom, France",5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTZhMDI4YTQtMTNlNS00NWZjLTkwOWEtMGExMTk1NDc4MGU1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
The Lion King,1994,G,24 Jun 1994,88 min,"Animation, Adventure, Drama","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton","Matthew Broderick, Jeremy Irons, James Earl Jones","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","English, Swahili, Xhosa, Zulu",United States,Won 2 Oscars. 43 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg
Little Buddha,1993,PG,25 May 1994,123 min,Drama,Bernardo Bertolucci,"Bernardo Bertolucci, Rudy Wurlitzer, Mark Peploe","Keanu Reeves, Bridget Fonda, Ruocheng Ying","After the death of Lama Dorje, Tibetan Buddhist monks find three children - one American and two Nepalese - who may be the rebirth of their great teacher.",English,"France, Liechtenstein, United Kingdom",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZjU2MWM4NjctYTRlYi00MzBiLWI1NmItMmE4ODdlOGZmMTcyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
New Nightmare,1994,R,14 Oct 1994,112 min,"Fantasy, Horror, Mystery",Wes Craven,Wes Craven,"Heather Langenkamp, Robert Englund, Jf Davis",A demonic force has chosen Freddy Krueger as its portal to the real world. Can Heather Langenkamp play the part of Nancy one last time and trap the evil trying to enter our world?,English,United States,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMzcxYjI5OTgtMmYyYS00ZTFhLWI3NzktOTBmMzQyNWNkNTk5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
The Mask,1994,PG-13,29 Jul 1994,101 min,"Action, Comedy, Crime",Chuck Russell,"Michael Fallon, Mark Verheiden, Mike Werb","Jim Carrey, Cameron Diaz, Peter Riegert",Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"English, Swedish",United States,Nominated for 1 Oscar. 6 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BOWExYjI5MzktNTRhNi00Nzg2LThkZmQtYWVkYjRlYWI2MDQ4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Maverick,1994,PG,20 May 1994,127 min,"Action, Adventure, Comedy",Richard Donner,"Roy Huggins, William Goldman","Mel Gibson, Jodie Foster, James Garner","Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",English,United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BY2I1OTY2NmUtMGVlZi00NjNmLThkNTgtMjExMzRhOTM2MDJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Mrs. Parker and the Vicious Circle,1994,R,23 Nov 1994,125 min,"Biography, Drama",Alan Rudolph,"Alan Rudolph, Randy Sue Coburn","Jennifer Jason Leigh, Campbell Scott, Matthew Broderick","Dorothy Parker remembers the heyday of the Algonquin Round Table, a circle of friends whose barbed wit, like hers, was fueled by alcohol and flirted with despair.",English,"United States, Canada",2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BNWUwMDdhZWMtOGZkYy00ZTg2LTgwNTktZDVhZDM1MmFhODI4XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg
Naked Gun 33 1/3: The Final Insult,1994,PG-13,18 Mar 1994,83 min,"Comedy, Crime",Peter Segal,"Pat Proft, David Zucker, Robert LoCash","Leslie Nielsen, Priscilla Presley, George Kennedy",Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,English,United States,3 wins,https://m.media-amazon.com/images/M/MV5BZWYzZjVlMmUtZjNiZS00NWQ1LWIwMDAtZGMzYWNkOWU4NjUyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Paper,1994,R,25 Mar 1994,112 min,"Comedy, Drama",Ron Howard,"David Koepp, Stephen Koepp","Michael Keaton, Glenn Close, Robert Duvall","New York City tabloid editor Henry's faced with tough decisions while he faces several serious life challenges, and a tempting job offer.",English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BOThhZDU0MmItMDYxNy00MTZlLWI4NmYtNmZkZmYwMzJiZDMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Reality Bites,1994,PG-13,18 Feb 1994,99 min,"Comedy, Drama, Romance",Ben Stiller,Helen Childress,"Winona Ryder, Ethan Hawke, Janeane Garofalo","A documentary filmmaker and her fellow Generation X graduates face life after college, looking for work and love in Houston.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZWY1ZGEyY2YtNWZhNS00OGZhLTg3OWEtODE2M2U5NjE4YmUyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Red Rock West,1993,R,14 May 1993,98 min,"Crime, Drama, Thriller",John Dahl,"John Dahl, Rick Dahl","Nicolas Cage, Dennis Hopper, Lara Flynn Boyle","Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BNzhiMTQxYzMtOWI4NS00NWJiLWE5MDMtMmIzNjMxODNjZjBlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg
Richie Rich,1994,PG,21 Dec 1994,95 min,"Comedy, Family",Donald Petrie,"Neil Tolkin, Tom S. Parker, Jim Jennewein","Macaulay Culkin, Edward Herrmann, John Larroquette","A rich young boy finds his family the target of an inside job, and must use his cunning to save them.","English, Latin",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOWRhMWEzMjMtYTFiYS00MTNlLWIxZTItNjEwZGQ1NDk3Y2NmXkEyXkFqcGdeQXVyODU4MjAxOQ@@._V1_SX300.jpg
The River Wild,1994,PG-13,30 Sep 1994,111 min,"Adventure, Crime, Thriller",Curtis Hanson,Denis O'Neill,"Meryl Streep, Kevin Bacon, David Strathairn",Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.,"English, American Sign ",United States,5 nominations,https://m.media-amazon.com/images/M/MV5BYWQyYTZjNTYtNGRiMi00ZTVhLTk0ZWEtZDA0OTVmMDk4OGE2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Speed,1994,R,10 Jun 1994,116 min,"Action, Adventure, Thriller",Jan de Bont,Graham Yost,"Keanu Reeves, Dennis Hopper, Sandra Bullock",A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,English,United States,Won 2 Oscars. 20 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BYjc0MjYyN2EtZGRhMy00NzJiLWI2Y2QtYzhiYTU3NzAxNzg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Speechless,1994,PG-13,16 Dec 1994,99 min,"Comedy, Romance",Ron Underwood,Robert King,"Michael Keaton, Geena Davis, Christopher Reeve",Two political speechwriters fall in love before they find out they are working for candidates on opposite sides.,"English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYmMyMWY0MmMtYTQyZS00NDI4LTk4OTQtY2MxOGMwNzNjMWVmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg
Timecop,1994,R,16 Sep 1994,99 min,"Action, Crime, Sci-Fi",Peter Hyams,"Mark Verheiden, Mike Richardson","Jean-Claude Van Damme, Mia Sara, Ron Silver","Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",English,"United States, Japan",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BOGMwNTQ4MGYtNTBhMy00MzIxLTkzMzctZjE2M2ZmMWFlZjkzXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg
True Lies,1994,R,15 Jul 1994,141 min,"Action, Comedy, Thriller",James Cameron,"James Cameron, Claude Zidi, Simon Michaël","Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold","A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United S...","English, French, Arabic, German",United States,Nominated for 1 Oscar. 8 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BYzg5YmUyNGMtMThiNS00MjA2LTgwZDctNDlhM2RkZDNmZmRkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
When a Man Loves a Woman,1994,R,13 May 1994,126 min,"Drama, Romance",Luis Mandoki,"Ron Bass, Al Franken","Meg Ryan, Andy Garcia, Ellen Burstyn",The seemingly perfect relationship between a man and his wife is tested as a result of her alcoholism.,"English, Vietnamese",United States,4 nominations,https://m.media-amazon.com/images/M/MV5BODBhYzRiN2ItYjgxMS00MGUwLTg2ODEtY2UzYWM1NzdlYjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Wolf,1994,R,17 Jun 1994,125 min,"Drama, Horror, Romance",Mike Nichols,"Jim Harrison, Wesley Strick","Jack Nicholson, Michelle Pfeiffer, James Spader",Publisher Will Randall becomes a demon wolf and has to fight to keep his job.,"English, Spanish",United States,2 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTMwZTVmODQtOTdmMS00NWNmLWJlMGQtN2IzYjA5ZGExMmE5XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Wyatt Earp,1994,PG-13,24 Jun 1994,191 min,"Action, Adventure, Biography",Lawrence Kasdan,"Dan Gordon, Lawrence Kasdan","Kevin Costner, Dennis Quaid, Gene Hackman","From Wichita to Dodge City, to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure, and desperate heroic action.","English, Spanish",United States,Nominated for 1 Oscar. 3 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZTY2NDVhZGUtZTY2MC00MTBhLTg4YTQtN2ZiODU4OWM2YTNjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Bad Company,1995,R,20 Jan 1995,108 min,"Crime, Drama, Thriller",Damian Harris,Ross Thomas,"Ellen Barkin, Laurence Fishburne, Frank Langella","Nelson Crowe is a CIA operative under the thumb of the Company for a disputed delivery of $50,000 in gold. They blackmail him into working for the Grimes Organization, which is set up as a private company for hire, to blackmail pr...",English,"United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BZDNkMGQwNTYtYTJjYi00NTk4LTllYTktMzVhYTkxNWZjNmU2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
A Man of No Importance,1994,R,01 Feb 1995,99 min,"Comedy, Drama",Suri Krishnamma,Barry Devlin,"Albert Finney, Brenda Fricker, Michael Gambon","A friendly, poetry quoting bus conductor in 1963 Dublin wants to stage Oscar Wilde's play, Salome, with passengers on his bus.",English,"Ireland, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMTM0MTQxOTIwM15BMl5BanBnXkFtZTcwMTUyMTkxMQ@@._V1_SX300.jpg
S.F.W.,1994,R,20 Jan 1995,96 min,"Comedy, Drama",Jefery Levy,"Andrew Wellman, Danny Rubin, Jefery Levy","Stephen Dorff, Reese Witherspoon, Jake Busey",An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNDlhMDg4OGQtYjIxMi00ZjY0LWEwOTktOWU3YWRiYzZlZjRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
A Low Down Dirty Shame,1994,R,23 Nov 1994,108 min,"Action, Comedy, Crime",Keenen Ivory Wayans,Keenen Ivory Wayans,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith","An ex-cop, now a private detective, takes on the search for the millions stolen by a drug lord.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMmE2Y2FmNmEtNzc5OC00OTUyLThlY2QtODQ4NTI4OTJhMzAwXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg
"Boys Life: Three Stories of Love, Lust, and Liberation",1994,N/A,30 Sep 1994,91 min,Drama,"Robert Lee King, Raoul O'Connell, Brian Sloan",N/A,"James Andrews, Mary Beth Aylesworth, Mike Barbour","Each of the three short films in this collection presents a young gay man at the threshold of adulthood. In ""Pool Days,"" Justin is a 17-year old Bethesda lad, hired as the evening life guard at a fitness center. In the course of t...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM0ODA1MzEwM15BMl5BanBnXkFtZTcwNjQ3ODYxMQ@@._V1_SX300.jpg
Colonel Chabert,1994,N/A,21 Sep 1994,110 min,"Drama, History, Romance",Yves Angelo,"Yves Angelo, Jean Cosmos, Véronique Lagrange","Gérard Depardieu, Fanny Ardant, Fabrice Luchini","Colonel Chabert has been severely wounded in the French-Russian Napoleonic war to the point that the medical examiner has signed his death certificate. When he regains his health and memory, he goes back to Paris, where his ""widow...",French,France,2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTM1NTEyNjQ3MF5BMl5BanBnXkFtZTcwMzg4NTYxMQ@@._V1_SX300.jpg
"Faster, Pussycat! Kill! Kill!",1965,Not Rated,06 Aug 1965,83 min,"Action, Comedy",Russ Meyer,"Jackie Moran, Russ Meyer","Tura Satana, Haji, Lori Williams","Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzQzODhjOTktZDY2ZS00Y2E0LTgwZWEtNzdlOWI4MjY4OWMyXkEyXkFqcGdeQXVyMjUxOTQ5MzA@._V1_SX300.jpg
Jason's Lyric,1994,R,28 Sep 1994,119 min,"Crime, Drama, Romance",Doug McHenry,Bobby Smith Jr.,"Allen Payne, Jada Pinkett Smith, Bokeem Woodbine","Two brothers, survivors of family tragedy, take different life paths: one falls for a high-spirited waitress and dreams of success, the other follows a life of petty crime. Their lives reconnect in shattering fashion.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYWI3Zjc5ZGYtMDVmOS00MDI3LTlkZjAtODZlM2JhYWFjZjBjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Street Fighter,1994,PG-13,23 Dec 1994,102 min,"Action, Adventure, Comedy",Steven E. de Souza,Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen",Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,"English, Japanese, Esperanto","Japan, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BY2JhYjUzYzAtMWFhMi00YzIyLTllZGQtMTAzNThkNTJhNTBmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg
Highlander: The Final Dimension,1994,PG-13,27 Jan 1995,99 min,"Action, Fantasy, Romance",Andrew Morahan,"Gregory Widen, Brad Mirman, William N. Panzer","Christopher Lambert, Mario Van Peebles, Deborah Kara Unger","Deceived that he had won the Prize, Connor MacLeod awakens from a peaceful life when an entombed immortal magician comes seeking the Highlander.",English,"United Kingdom, France, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BNzZmNGNmMzgtMjA2YS00YzY3LThmMjYtOTVmMzg4ZGY2YWJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Federal Hill,1994,R,24 Feb 1995,97 min,"Crime, Drama",Michael Corrente,Michael Corrente,"Nicholas Turturro, Anthony DeSando, Libby Langdon","On the mean streets of Providence, five friends struggle for a future in the mob-infested neighborhood known as Federal hill. Petty burglar Ralph and his drug-dealing friend Nicky are inseparable until Nicky meets a beautiful….",English,United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYWNkZTg5Y2EtNmE5Yi00YTI0LWFlNGEtNjhkN2I4NDU0NDlhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
In the Mouth of Madness,1994,R,03 Feb 1995,95 min,"Drama, Fantasy, Horror",John Carpenter,Michael De Luca,"Sam Neill, Jürgen Prochnow, Julie Carmen",An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BYjNkMWVkYTUtYzUwZi00ZWI1LTg3MzktZjVkNDQxZjFhOTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
8 Seconds,1994,PG-13,25 Feb 1994,105 min,"Biography, Drama, Sport",John G. Avildsen,Monte Merrick,"Luke Perry, Stephen Baldwin, James Rebhorn","This movie chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjY4Nzk5NzItYjAyNy00NzgwLTgwMTQtMTM4MDkyOTk0ODFjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Above the Rim,1994,R,23 Mar 1994,96 min,"Crime, Drama, Sport",Jeff Pollack,"Jeff Pollack, Benny Medina, Barry Michael Cooper","Duane Martin, Tupac Shakur, Leon","Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNDE5M2I4OWEtZDUyMS00ODYwLTkxNWYtZmNlNjEzOWRlYjc0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
